Nuclide	Z	Mass	Age Group	Effective Dose	Thyroid Dose
H-3	1	3	15y	5.30E-11	0.00E+00
Co-60	27	60	15y	1.20E-08	0.00E+00
Kr-85	36	85	15y	0.00E+00	0.00E+00
Kr-85m	36	85	15y	0.00E+00	0.00E+00
Kr-87	36	87	15y	0.00E+00	0.00E+00
Kr-88	36	88	15y	0.00E+00	0.00E+00
Sr-89	38	89	15y	7.30E-09	0.00E+00
Sr-90	38	90	15y	5.00E-08	0.00E+00
Zr-95	40	95	15y	5.90E-09	0.00E+00
Ru-103	44	103	15y	3.00E-09	0.00E+00
Ru-106	44	106	15y	3.10E-08	0.00E+00
Te-132	52	132	15y	2.60E-09	0.00E+00
I-131	53	131	15y	1.10E-08	2.20E-07
I-132	53	132	15y	1.30E-10	2.10E-09
I-133	53	133	15y	2.20E-09	4.40E-08
I-134	53	134	15y	5.90E-11	3.90E-10
I-135	53	135	15y	4.80E-10	8.80E-09
Xe-133	54	133	15y	0.00E+00	0.00E+00
Xe-135	54	135	15y	0.00E+00	0.00E+00
Cs-134	55	134	15y	6.30E-09	0.00E+00
Cs-137	55	137	15y	4.40E-09	0.00E+00
Ba-140	56	140	15y	6.20E-09	0.00E+00
Ce-144	58	144	15y	4.10E-08	0.00E+00
Np-239	93	239	15y	1.20E-09	0.00E+00
Pu-238	94	238	15y	4.30E-05	0.00E+00
Pu-239	94	239	15y	4.70E-05	0.00E+00
Pu-240	94	240	15y	4.70E-05	0.00E+00
Pu-241	94	241	15y	8.60E-07	0.00E+00
Am-241	95	241	15y	4.00E-05	0.00E+00
Cm-242	96	242	15y	6.40E-06	0.00E+00
Cm-244	96	244	15y	2.60E-05	0.00E+00
