Nuclide	Z	Mass	Age Group	Effective Dose	Thyroid Dose
H-3	1	3	1y	2.70E-10	0.00E+00
Co-60	27	60	1y	3.40E-08	0.00E+00
Kr-85	36	85	1y	0.00E+00	0.00E+00
Kr-85m	36	85	1y	0.00E+00	0.00E+00
Kr-87	36	87	1y	0.00E+00	0.00E+00
Kr-88	36	88	1y	0.00E+00	0.00E+00
Sr-89	38	89	1y	2.40E-08	0.00E+00
Sr-90	38	90	1y	1.10E-07	0.00E+00
Zr-95	40	95	1y	1.60E-08	0.00E+00
Ru-103	44	103	1y	8.40E-09	0.00E+00
Ru-106	44	106	1y	1.10E-07	0.00E+00
Te-132	52	132	1y	1.30E-08	0.00E+00
I-131	53	131	1y	7.20E-08	1.40E-06
I-132	53	132	1y	9.60E-10	1.60E-08
I-133	53	133	1y	1.80E-08	3.50E-07
I-134	53	134	1y	3.70E-10	3.10E-09
I-135	53	135	1y	3.70E-09	7.00E-08
Xe-133	54	133	1y	0.00E+00	0.00E+00
Xe-135	54	135	1y	0.00E+00	0.00E+00
Cs-134	55	134	1y	7.30E-09	0.00E+00
Cs-137	55	137	1y	5.40E-09	0.00E+00
Ba-140	56	140	1y	2.00E-08	0.00E+00
Ce-144	58	144	1y	1.60E-07	0.00E+00
Np-239	93	239	1y	4.20E-09	0.00E+00
Pu-238	94	238	1y	7.40E-05	0.00E+00
Pu-239	94	239	1y	7.70E-05	0.00E+00
Pu-240	94	240	1y	7.70E-05	0.00E+00
Pu-241	94	241	1y	9.70E-07	0.00E+00
Am-241	95	241	1y	6.90E-05	0.00E+00
Cm-242	96	242	1y	1.80E-05	0.00E+00
Cm-244	96	244	1y	5.70E-05	0.00E+00
