Nuclide	Z	Mass	Age Group	Effective Dose	Thyroid Dose
H-3	1	3	5y	1.40E-10	0.00E+00
Co-60	27	60	5y	2.10E-08	0.00E+00
Kr-85	36	85	5y	0.00E+00	0.00E+00
Kr-85m	36	85	5y	0.00E+00	0.00E+00
Kr-87	36	87	5y	0.00E+00	0.00E+00
Kr-88	36	88	5y	0.00E+00	0.00E+00
Sr-89	38	89	5y	1.30E-08	0.00E+00
Sr-90	38	90	5y	6.50E-08	0.00E+00
Zr-95	40	95	5y	9.70E-09	0.00E+00
Ru-103	44	103	5y	5.00E-09	0.00E+00
Ru-106	44	106	5y	6.40E-08	0.00E+00
Te-132	52	132	5y	6.40E-09	0.00E+00
I-131	53	131	5y	3.70E-08	7.30E-07
I-132	53	132	5y	4.50E-10	7.60E-09
I-133	53	133	5y	8.30E-09	1.60E-07
I-134	53	134	5y	1.80E-10	1.40E-09
I-135	53	135	5y	1.70E-09	3.30E-08
Xe-133	54	133	5y	0.00E+00	0.00E+00
Xe-135	54	135	5y	0.00E+00	0.00E+00
Cs-134	55	134	5y	5.20E-09	0.00E+00
Cs-137	55	137	5y	3.60E-09	0.00E+00
Ba-140	56	140	5y	1.10E-08	0.00E+00
Ce-144	58	144	5y	8.80E-08	0.00E+00
Np-239	93	239	5y	2.00E-09	0.00E+00
Pu-238	94	238	5y	5.60E-05	0.00E+00
Pu-239	94	239	5y	6.00E-05	0.00E+00
Pu-240	94	240	5y	6.00E-05	0.00E+00
Pu-241	94	241	5y	9.20E-07	0.00E+00
Am-241	95	241	5y	5.10E-05	0.00E+00
Cm-242	96	242	5y	1.10E-05	0.00E+00
Cm-244	96	244	5y	3.70E-05	0.00E+00
